T,E,E_err,c,c_err
1.0,-4656.5034965034965,0.3702754283943234,0.054896398706188926,0.0027048208781865033
1.1,-4636.367632367633,0.46822433085720133,0.07254653158039029,0.003021988491815459
1.2,-4611.1648351648355,0.5964009208468494,0.09890270901259911,0.004670347534539533
1.3,-4579.256743256743,0.7706948047368933,0.1407253142083992,0.005934986604287666
1.4,-4541.526473526474,0.939904157550631,0.1804700500421107,0.007988641432352738
1.5,-4558.8691308691305,1.1709927569571583,0.24401693526808407,0.010430954645810533
1.6,-4497.554445554446,1.3051087929691343,0.26640816725731814,0.012700452181570836
1.7,-4412.7352647352645,1.6353578752063616,0.37052868863383603,0.015953202161571676
1.8,-4314.06993006993,2.080609742876807,0.5349710912414873,0.026033803808407013
1.9,-4176.963036963037,2.3658131565093456,0.6207943449755376,0.027956284263081582
2.0,-3990.3416583416583,2.8503330037006114,0.8132522630216935,0.034918003415759985
2.1,-3788.979020979021,3.1687657479897324,0.9116659811336564,0.0373799246654005
2.2,-3509.5104895104896,3.9024846108854305,1.2598855805236202,0.06275713746151745
2.3,-3252.063936063936,4.056252591338136,1.2453412680394775,0.05754949995616761
2.4,-2980.871128871129,3.704199840937946,0.953806774865716,0.04132919557526659
2.5,-2745.4945054945056,3.474447377474289,0.7733668072586755,0.03466990753195475
2.6,-2547.2327672327674,3.3689351385230983,0.6722528811564037,0.03354903036300789
2.7,-2389.182817182817,3.2293806398320997,0.5728026456098385,0.02584891047630865
2.8,-2257.942057942058,3.135317906113744,0.5020432954474424,0.021224647455104294
2.9,-2143.696303696304,2.9876597077235614,0.4249720161561947,0.019126643420006154
3.0,-2040.1038961038962,3.072023616328094,0.4198562857056363,0.01943345085989983
