T,E,E_err,abs_M,abs_M_err,sus,sus_err,c,c_err
1.0,-4992.943056943057,0.23863738536650836,2498.1858141858143,0.06262261138704804,0.0015702052193560688,9.391646175050799e-05,0.022801899798503195,0.0013149639338249687
1.1,-4985.258741258741,0.3551248127561396,2496.203796203796,0.09357832554336268,0.003187512696185841,0.00015275869040597904,0.041732147526518444,0.0019910902255868656
1.2,-4971.492507492508,0.47049255674351087,2492.5774225774226,0.1262630156050507,0.0053194304862636535,0.0002642682446936003,0.06155128033249912,0.0031072063889056177
1.3,-4949.982017982018,0.6561266961027857,2486.737262737263,0.18315233277553644,0.01033179131634522,0.0005324766344419369,0.10199591564025945,0.004446497805301961
1.4,-4919.532467532467,0.827079433890648,2478.2997002997004,0.23958970356581344,0.01641732265165975,0.0007891796378607213,0.13974376537853872,0.006593288051675492
1.5,-4877.454545454545,1.0482306559219894,2466.211788211788,0.31174450186903907,0.025941818421338907,0.0011282604558223116,0.1955353414262505,0.008597772788065762
1.6,-4820.395604395604,1.2768793476681612,2448.941058941059,0.41187627838716034,0.04245292769168893,0.0021125969497494818,0.2550080139640579,0.01252001601942176
1.7,-4746.7532467532465,1.5751290448406896,2426.295704295704,0.5210309525816309,0.06393993571803995,0.0029873260130005483,0.34373875977974305,0.01443343395435186
1.8,-4647.504495504496,1.9217191594273815,2391.894105894106,0.7173138659756627,0.11445638255628265,0.005563763473339686,0.45638241138740643,0.020783729447807646
1.9,-4525.5784215784215,2.209617250726533,2346.785214785215,0.9473747336129241,0.18914029574190466,0.00941966831119299,0.5415280668258162,0.025180426596561795
2.0,-4368.035964035964,2.6322322244970824,2280.4315684315684,1.3160258289822746,0.3467311813062063,0.016395129178538786,0.6935575130164542,0.030726157162955757
2.1,-4143.584415584415,3.2856271289172376,2157.5424575424577,2.70017134715949,1.390136424633356,0.10580211606331359,0.9801488413521278,0.045564799150053445
2.2,-3886.3456543456546,4.222970472415714,1988.819180819181,4.600857672347033,3.8525562204574095,0.24815482664709201,1.475315131446768,0.06154236345247518
2.3,-3418.705294705295,5.231871341498407,1256.065934065934,16.23288203688567,112.27320731425115,6.569796659987694,2.0718223222477383,0.07895819205353917
2.4,-3011.5284715284715,3.9219106683601237,484.9150849150849,10.227231524544647,56.56537429403764,2.2374766789048723,1.0692197690199687,0.04596010111208656
2.5,-2756.9630369630368,3.661676456971871,337.6623376623377,8.114426670186749,27.961602498680143,1.191083901736857,0.8589620704011275,0.03618614645989616
2.6,-2571.7002997002996,3.4476956062446202,239.01298701298703,5.5196721644299185,13.31352211363523,0.5612323757305024,0.7040527572965549,0.03172299762407793
2.7,-2411.6323676323677,3.304281048355666,196.47752247752248,4.524613025008941,8.718437012574874,0.3562024992995201,0.5996812905223015,0.02600092793313759
2.8,-2273.7902097902097,3.1091979758192005,176.45154845154846,4.189252758298955,6.940178797084177,0.2935656881759982,0.493713222698523,0.02189705257013896
2.9,-2155.804195804196,2.983360494853626,142.62337662337663,3.4937261715453554,4.444325238989884,0.2065634183509704,0.42374983505805125,0.01859714055403549
3.0,-2039.3446553446554,3.182292569034192,131.984015984016,3.1464020963801462,3.6424058381844597,0.16995613156424205,0.4505383547077853,0.019094833063438732
