T,E,E_err,c,c_err
1.0,-4656.947052947053,0.41348287348423224,0.06845562190057694,0.0031000753310982242
1.1,-4634.177822177822,0.4837685908792091,0.07744333275067003,0.0038135116185090056
1.2,-4610.325674325674,0.5744193459852834,0.0917465396186675,0.003801296436508115
1.3,-4635.1808191808195,1.4829375795678716,0.5210184541442633,0.018415603654201643
1.4,-4617.406593406594,0.9866345056505919,0.19886144803839353,0.008830341968268247
1.5,-4567.072927072927,1.1459424048133404,0.23368838740347225,0.010769631633762867
1.6,-4503.596403596403,1.280573142011534,0.25648553743958336,0.01096768109100933
1.7,-4423.112887112887,1.5956357950740547,0.35274735558645426,0.01622105759286228
1.8,-4306.929070929071,2.009573873075116,0.4990648812959836,0.022681142965712078
1.9,-4187.584415584415,2.2119504457851504,0.5426722991006907,0.024893779267492273
2.0,-4030.137862137862,2.7490447293433022,0.7564804170854121,0.03432518666758438
2.1,-3798.0699300699303,3.156519271833182,0.9046328823009284,0.03679059156370559
2.2,-3520.1518481518483,3.821739777056899,1.2082893073109466,0.05290633175677936
2.3,-3248.7512487512486,3.9535016226887745,1.1830476563843766,0.05437922770790958
2.4,-2973.6783216783215,3.6922466624079817,0.9476609792693711,0.03833083037597848
2.5,-2741.3506493506493,3.4725938500025775,0.7725418851278592,0.03311318688897695
2.6,-2549.022977022977,3.4207020281800213,0.6930712170390834,0.030818870872140303
2.7,-2394.121878121878,3.2736891014820686,0.5886286624688964,0.026221962942188513
2.8,-2255.4405594405594,3.3448210519726467,0.5713783519178125,0.025183931047506776
2.9,-2134.057942057942,3.136377062844785,0.46833283906869067,0.020909235823500048
3.0,-2036.6873126873127,2.980693405565555,0.39526300938488745,0.01889906671293212
