T,E,E_err,c,c_err
1.0,-4750.157842157842,0.43687658186534606,0.07642080357205232,0.004179709110641622
1.1,-4725.354645354645,0.49100782320196024,0.07977843673651998,0.003608312158486737
1.2,-4689.350649350649,0.606654345618912,0.10233264570926907,0.004389367227722456
1.3,-4659.216783216783,0.8039183679159658,0.1531197697076788,0.007079006543563146
1.4,-4624.135864135864,0.9484163830894434,0.1837536998669744,0.008247214597796444
1.5,-4577.326673326674,1.1737501528392558,0.2451674863487051,0.01129517614622413
1.6,-4501.758241758242,1.3163579168966832,0.27102046305343,0.01258309631957445
1.7,-4413.4625374625375,1.5496366336623473,0.3327024318456416,0.013921718484627412
1.8,-4305.226773226773,1.884406536684303,0.4388319732708677,0.020176190574311838
1.9,-4181.518481518481,2.411209288654613,0.6448469987731834,0.028199832456758705
2.0,-4006.2937062937062,2.647294148666561,0.7015174475873777,0.03344734801719737
2.1,-3781.918081918082,3.2753434637045338,0.9740229188242401,0.042588393660745155
2.2,-3541.746253746254,3.8421660955247683,1.2212398798269126,0.05481795189564162
2.3,-3257.146853146853,3.8322172366400187,1.111574656918689,0.046366702609142156
2.4,-2965.302697302697,3.8821663771587143,1.0476588191473306,0.046363228785755044
2.5,-2750.3296703296705,3.5934974395248447,0.8272727725900473,0.03713061114785804
2.6,-2551.8081918081916,3.392778473514108,0.6818021725509504,0.02972186423547291
2.7,-2390.401598401598,3.3331276554862184,0.6101975148276995,0.025689295691893252
2.8,-2261.2987012987014,3.1205733438496526,0.4973324475683341,0.022247766780105472
2.9,-2143.2567432567434,2.9954186649770764,0.42718218841719585,0.020274415578332938
3.0,-2032.7912087912089,2.955138396743307,0.3885144794155783,0.01750777183278199
