T,E,E_err,abs_M,abs_M_err,sus,sus_err,c,c_err
1.0,-4993.162837162838,0.24057150780396466,2498.253746253746,0.06283032074952562,0.001580638741877503,0.00010906811694253708,0.023173010006976046,0.0014686647335358039
1.1,-4985.350649350649,0.3462917357193221,2496.2317682317685,0.09200701453417592,0.0030813658233511104,0.0001724192478445266,0.03968194518800935,0.0019830238801771334
1.2,-4971.968031968032,0.4857394933185717,2492.7152847152847,0.13092576480784524,0.005719565815469911,0.0002692488817809873,0.06560522172909783,0.0029748309104410077
1.3,-4950.317682317683,0.6668411939808604,2486.9050949050948,0.18383785656011462,0.010409278111422123,0.0004956366546131411,0.10535428524681877,0.004699635249438232
1.4,-4919.924075924076,0.8466120770460461,2478.36963036963,0.24164105110200915,0.016699653707217568,0.0008204626373959743,0.14642219612433072,0.00671638790794776
1.5,-4878.465534465535,1.016373944929327,2466.36963036963,0.308384402625573,0.025385610859337132,0.001197379497641299,0.18383093545371265,0.008310873555945366
1.6,-4820.499500499501,1.342582359647996,2449.2087912087914,0.43654099005400615,0.04768965100833232,0.002502841520707031,0.2819265499735029,0.0137511643840442
1.7,-4746.693306693307,1.5670561762014286,2425.5084915084917,0.5507442564665382,0.07144060123927318,0.003716937461461154,0.34022432172047257,0.01586396240727462
1.8,-4645.618381618382,1.9181615820167282,2391.3966033966035,0.7321549771595347,0.11924154699779074,0.006360409581605524,0.4546942220468694,0.019744194991440873
1.9,-4521.262737262738,2.26445561975345,2344.943056943057,0.9446418186627437,0.18805063446989942,0.008702082118689444,0.5687409432783174,0.02604744260419093
2.0,-4362.941058941059,2.706716381342142,2278.2017982017983,1.4099479927024412,0.3979882590935539,0.024524234138986904,0.7333639882594927,0.03193036374518326
2.1,-4159.416583416583,3.228926281117699,2174.3956043956046,2.1377695510260453,0.8713578498947416,0.06106740574668898,0.9466114189407225,0.046033899638883
2.2,-3867.688311688312,4.016582223085242,1974.4295704295705,3.8433700740586274,2.688411821762834,0.15557733026583015,1.334633527897454,0.06107772898149125
2.3,-3431.008991008991,5.00203709986331,1267.0429570429571,15.847472456009378,315.08103930782335,5.641874758201851,1.8937917220081184,0.08386913946132903
2.4,-3013.9140859140857,4.009256323150579,512.4175824175824,10.699075033254438,59.498742590742594,2.140792909812378,1.1173757222908074,0.05104083051655582
2.5,-2766.2817182817184,3.651615892163103,334.5234765234765,7.699540024067715,26.963032726394484,1.187437227202857,0.8542485070414101,0.039742421609379956
2.6,-2568.5234765234763,3.4867782114850994,222.62937062937064,5.226498217065982,11.7736976863143,0.4888068027097963,0.7201053206143974,0.03277112110626848
2.7,-2407.7242757242757,3.4208927465248404,198.23776223776224,4.7024278457484945,9.062443490575358,0.4094802569666838,0.6427549898715771,0.02852296296426878
2.8,-2271.4485514485514,3.2209055808336804,168.9030969030969,4.073137624697947,6.443729806371736,0.30732535039759595,0.5298268874186833,0.02268047764631927
2.9,-2151.5164835164837,3.0425165418285687,145.30469530469531,3.494361562847429,4.589126686878866,0.20688157846016741,0.4407212277863387,0.018858632443493818
3.0,-2041.886113886114,2.888122603247319,133.6903096903097,3.0878233684977445,3.6537045851251646,0.15535408822447275,0.37109304104708707,0.01641134925084939
